product_id,category_id,price,current_stock,sales_7_days,sales_30_days,revenue_30_days,order_count_30_days,average_quantity_per_order,days_since_last_sale,dead_product
198,7,188192,454,0,8,1472841,39,5,80,1
149,8,463645,127,7,7,3195249,71,5,114,1
97,8,499083,215,3,3,1479726,100,4,76,1
12,6,400439,293,6,6,2472885,84,2,95,1
127,1,76189,308,9,9,711359,57,1,88,1
135,8,18046,420,2,2,37788,10,4,98,1
68,6,336767,405,6,6,2091796,69,4,56,1
82,8,467379,328,0,0,0,37,2,54,1
192,2,237526,101,1,1,242134,4,1,102,1
84,1,163809,234,5,5,798093,53,5,101,1
175,3,99120,140,1,1,100935,64,5,94,1
37,4,251775,377,4,4,1023902,60,3,104,1
174,9,92824,88,7,7,636717,55,3,90,1
117,5,114447,247,7,7,791624,46,5,59,1
76,5,21502,475,1,6,129862,88,1,81,1
156,8,446647,197,3,3,1358246,80,3,91,1
174,3,339382,100,0,0,0,75,3,85,1
188,3,57255,202,5,5,277709,70,3,99,1
136,9,488930,190,2,2,1023563,38,3,78,1
30,8,49478,123,3,3,146441,51,1,96,1
68,9,74796,283,5,5,369530,82,3,79,1
28,4,257189,63,9,9,2410820,29,1,117,1
163,8,486781,409,4,4,1876984,5,3,98,1
127,2,60956,171,8,8,485387,86,5,63,1
108,10,399162,423,2,2,766312,63,5,99,1
105,5,27152,404,5,5,135009,31,3,73,1
26,6,295456,381,5,5,1444171,16,4,53,1
24,4,346437,378,6,9,3207353,32,2,48,1
145,4,45971,475,8,8,357321,30,3,72,1
199,3,423476,356,0,0,0,70,3,81,1
45,2,356584,494,0,0,0,31,5,62,1
83,1,101355,186,0,0,0,15,1,62,1
122,8,417904,236,8,8,3344515,79,1,59,1
187,9,168141,285,0,0,0,55,1,53,1
126,8,48530,92,5,5,233579,80,5,64,1
141,6,209703,356,8,8,1678555,56,1,83,1
180,2,457108,386,8,8,3639148,30,4,73,1
87,8,219049,263,1,1,214942,33,3,86,1
40,8,45197,97,1,1,43373,95,3,57,1
34,9,41447,351,8,8,337213,53,3,117,1
171,7,465130,420,0,0,0,14,5,82,1
130,4,91123,387,7,7,628300,72,3,74,1
30,5,310993,166,6,6,1925375,79,5,117,1
7,10,497107,387,4,4,1943344,98,3,49,1
87,6,13201,143,2,2,26140,19,1,118,1
24,9,122791,243,6,6,711505,40,3,104,1
199,10,322592,94,0,0,0,7,1,65,1
70,8,357046,268,7,7,2442629,97,5,102,1
30,6,235398,107,4,4,957329,6,2,108,1
102,10,38721,54,3,3,119268,98,3,84,1
75,6,72906,54,7,7,491417,69,2,101,1
129,9,446917,393,5,5,2315424,6,4,55,1
5,8,492954,90,5,5,2482861,91,4,119,1
75,2,222353,61,5,5,1107328,89,3,67,1
23,7,452753,105,3,3,1344737,11,4,101,1
80,6,126167,221,2,2,255695,68,5,55,1
50,6,194077,423,2,2,374430,26,2,76,1
155,3,408571,439,1,1,413798,60,5,68,1
195,10,245355,399,9,9,2167594,57,1,87,1
121,8,341027,206,4,4,1365108,40,4,53,1
116,1,39826,239,4,4,165106,12,5,55,1
153,9,211579,287,9,9,1979594,58,5,116,1
167,4,178572,360,7,7,1307219,58,1,110,1
88,2,274528,381,2,2,560455,57,5,51,1
134,10,93228,237,5,5,461887,44,5,82,1
14,6,44556,219,1,1,44050,33,5,117,1
39,6,52730,349,2,2,110392,90,4,90,1
34,10,381633,94,4,4,1548436,43,2,117,1
172,9,58996,381,6,6,336922,40,2,111,1
55,6,411686,299,3,3,1192441,38,1,74,1
130,9,447843,429,8,8,3524260,99,5,50,1
34,10,207509,129,2,2,426269,22,4,69,1
12,7,200997,397,3,3,590022,96,4,102,1
60,9,135393,209,7,7,964650,74,4,70,1
119,5,417961,246,8,8,3499593,26,5,113,1
36,5,37357,379,7,7,272855,92,5,93,1
32,5,53974,441,2,2,112323,19,4,80,1
24,4,438187,281,5,5,2093056,65,3,49,1
61,7,52784,242,3,3,165174,92,3,49,1
38,3,30081,197,7,7,214894,58,5,63,1
2,2,19963,182,3,3,62525,78,5,65,1
109,2,416937,198,3,3,1194243,54,5,84,1
118,2,68121,479,2,7,483139,74,2,114,1
184,3,162710,270,0,0,0,24,1,91,1
135,6,45483,320,8,8,381632,71,1,110,1
100,8,32824,376,6,6,201814,46,1,93,1
89,4,394272,387,1,1,404392,18,1,120,1
91,9,187496,467,2,2,374186,24,2,105,1
17,8,29390,201,3,3,91571,41,3,51,1
132,7,437507,329,4,7,3140120,25,3,78,1
92,1,463927,386,5,5,2389071,56,4,80,1
191,8,479047,248,5,5,2441239,48,5,69,1
69,2,391200,268,1,1,410568,24,5,101,1
76,6,63790,91,5,5,317224,92,4,83,1
43,8,194311,279,0,0,0,36,1,91,1
20,7,200479,313,2,2,414938,87,4,49,1
9,3,45249,171,5,5,236413,5,5,92,1
40,8,204492,241,7,7,1379582,47,4,55,1
81,5,140868,109,0,0,0,72,1,69,1
68,5,379118,279,3,3,1184722,63,2,82,1
32,3,457126,88,7,7,3182318,12,3,68,1
171,6,382003,84,8,8,3175615,21,2,115,1
93,9,127567,113,3,3,393813,4,3,63,1
142,10,203415,290,8,8,1689849,9,3,62,1
102,8,285615,261,6,6,1649482,41,1,119,1
116,8,366572,315,5,5,1842263,76,2,62,1
197,3,236816,308,0,0,0,22,2,61,1
83,4,191415,316,4,4,742407,71,3,56,1
33,5,332137,324,1,1,321131,75,2,110,1
44,10,387819,360,5,5,2002161,4,1,118,1
12,10,148755,384,3,3,451535,4,4,119,1
161,9,161871,379,4,4,667212,88,4,107,1
77,8,48258,403,0,0,0,60,2,66,1
88,10,85323,211,5,5,410862,48,5,90,1
144,2,177308,174,7,7,1234900,19,1,61,1
13,5,211405,493,9,9,1990677,21,3,99,1
148,6,109527,441,2,2,218327,40,4,109,1
6,2,216172,309,7,7,1525815,7,1,76,1
73,8,323271,482,7,7,2151602,14,4,82,1
35,5,391423,238,5,6,2325189,73,5,92,1
50,6,300048,198,1,1,298558,71,3,95,1
160,10,72291,116,1,1,74422,44,5,96,1
94,3,114363,359,8,8,872841,5,2,97,1
183,6,431509,293,8,8,3488753,66,2,104,1
84,10,177001,134,6,6,1044628,66,5,84,1
126,10,167176,294,0,0,0,54,5,93,1
79,1,322952,293,4,4,1256611,7,5,120,1
123,3,284848,373,9,9,2646094,32,1,94,1
147,2,110025,60,7,7,743329,89,2,86,1
106,9,416308,364,7,7,2808687,27,5,53,1
84,8,285501,243,5,5,1486335,44,5,68,1
91,5,329855,298,3,3,995313,29,3,77,1
198,5,379571,157,7,7,2616824,93,3,86,1
74,2,310667,397,8,8,2564463,99,2,94,1
75,1,160801,416,1,1,163309,96,4,90,1
55,4,444085,326,4,4,1735772,14,5,117,1
190,10,135452,175,0,0,0,7,1,113,1
106,6,386102,292,0,1,404037,21,4,63,1
168,8,260320,384,3,3,764201,8,1,82,1
167,10,131750,324,0,0,0,23,1,68,1
102,8,107680,434,1,4,422036,78,1,50,1
86,5,248209,379,8,8,2062966,18,5,113,1
120,5,111088,465,1,1,113655,83,3,88,1
184,3,17384,428,5,5,88435,25,2,83,1
157,7,443580,269,8,8,3513449,13,2,87,1
36,8,179660,178,0,0,0,97,3,79,1
85,5,315377,421,9,9,2882014,89,2,47,1
16,2,254001,208,2,2,508130,91,3,97,1
177,2,344868,202,5,5,1803204,62,2,74,1
117,10,205887,263,8,8,1653275,86,2,106,1
196,4,366695,437,9,9,3282680,91,3,56,1
20,10,68829,82,8,8,554635,20,2,110,1
84,9,241651,110,3,3,695298,66,4,120,1
15,8,79176,313,6,6,454046,60,3,104,1
186,1,217591,181,0,0,0,55,3,73,1
180,2,293725,81,1,1,287471,24,2,106,1
197,7,206325,246,7,7,1383651,85,5,94,1
35,6,72197,142,8,8,556052,29,1,96,1
194,1,166428,288,8,8,1315350,30,2,100,1
118,6,91328,192,3,3,282463,54,5,60,1
197,1,136178,156,1,1,129826,77,1,58,1
63,1,220902,275,3,3,679564,100,1,115,1
36,9,161657,170,9,9,1469159,87,3,86,1
61,5,469411,124,8,8,3680370,8,5,74,1
152,3,338200,398,6,6,1937253,45,4,117,1
135,6,375066,264,6,6,2222594,97,5,65,1
122,4,455299,166,4,4,1896728,72,4,64,1
107,9,287868,119,6,6,1675968,83,1,77,1
116,6,58477,325,3,3,173276,78,5,52,1
11,2,108651,462,9,9,975844,43,3,117,1
4,4,109627,430,1,1,111771,91,2,107,1
102,4,299448,215,4,4,1201822,46,3,94,1
67,6,278863,305,7,7,1946085,41,2,58,1
95,6,227018,74,9,9,1970818,34,5,74,1
150,10,387493,264,4,4,1523601,49,5,65,1
63,8,298695,386,5,5,1541503,93,4,78,1
118,3,394183,458,5,5,2014336,63,2,67,1
139,1,284697,68,1,1,270643,18,2,52,1
18,3,14792,162,8,8,113134,82,5,104,1
124,8,18247,54,8,8,138850,68,3,116,1
138,5,18987,308,6,6,118684,68,2,68,1
62,4,334943,320,4,4,1379286,11,3,91,1
104,8,306223,175,3,3,948807,11,1,84,1
24,7,208843,244,7,8,1693591,90,2,106,1
22,8,453196,273,5,5,2355438,6,2,118,1
55,10,259299,189,0,0,0,70,5,55,1
169,1,104033,486,5,5,524692,97,4,48,1
20,5,95170,339,3,3,290564,70,3,118,1
99,3,424448,403,1,1,444580,7,1,110,1
112,4,449707,89,5,5,2209495,82,3,96,1
116,8,129610,233,8,8,1004294,75,4,94,1
22,10,164863,459,3,3,483113,49,2,55,1
190,7,176030,235,0,1,183827,57,3,57,1
195,5,63598,118,1,1,63272,72,5,69,1
105,2,23768,96,5,5,119991,42,4,116,1
4,5,226955,249,1,1,228588,22,4,117,1
44,3,150990,205,4,4,577583,56,3,109,1
108,5,263876,451,1,1,275597,93,4,92,1
153,10,112523,285,1,1,106972,51,3,63,1
159,7,431567,492,5,5,2142863,84,5,102,1
35,5,178120,359,3,3,517134,51,3,107,1
75,8,311926,451,3,3,915218,51,3,87,1
30,10,114752,354,8,8,942583,4,4,69,1
182,4,239876,459,4,4,976101,18,3,54,1
62,5,355329,129,6,6,2121115,77,4,94,1
150,7,290162,310,4,6,1791585,47,5,115,1
153,2,67341,444,3,3,204992,6,5,91,1
166,7,404622,220,1,6,2330284,29,5,59,1
192,9,302549,348,9,9,2688664,60,5,74,1
177,9,89033,227,0,0,0,11,1,107,1
187,3,192624,210,5,5,934887,62,3,104,1
122,2,239725,420,7,7,1644557,91,1,86,1
6,6,349722,106,2,2,676673,21,3,77,1
144,7,252249,169,6,6,1534755,56,4,69,1
8,10,472997,152,7,7,3146903,28,2,100,1
72,2,312696,103,8,8,2458036,59,1,69,1
68,8,286674,378,5,5,1417967,15,3,95,1
91,8,333675,139,4,4,1285843,16,2,56,1
79,2,105968,242,2,2,210203,18,5,111,1
99,7,107388,300,8,8,830484,37,2,68,1
48,6,451442,281,9,9,4246560,63,2,52,1
50,7,304430,309,7,7,2129246,91,4,98,1
126,3,53343,340,0,0,0,29,5,74,1
74,3,419332,285,9,9,3778066,74,1,109,1
69,9,441637,238,8,8,3610463,70,2,51,1
109,2,395870,475,3,3,1181640,45,1,84,1
113,2,416654,466,3,3,1260952,45,5,72,1
162,7,97022,366,2,2,199970,73,3,72,1
137,5,322925,326,2,2,632457,74,3,87,1
132,2,81087,435,6,6,504379,17,2,53,1
64,3,382975,215,3,3,1107813,81,3,96,1
161,7,206698,282,1,1,207020,36,3,57,1
117,8,181593,348,0,0,0,82,3,57,1
17,9,218517,162,6,6,1280754,37,3,73,1
141,10,78468,340,7,7,563680,6,1,89,1
161,8,18536,114,2,2,35220,55,2,102,1
177,3,472499,383,4,4,1813137,47,3,66,1
22,6,358393,383,2,2,725789,93,2,52,1
110,2,378940,99,0,0,0,76,2,73,1
133,8,14869,55,5,5,75787,62,1,61,1
59,7,56835,425,1,1,56082,39,2,59,1
98,3,346370,397,2,2,697124,79,2,54,1
113,6,388762,160,2,2,792029,28,1,98,1
26,3,404498,114,9,9,3809126,41,2,95,1
64,5,347966,94,3,3,1054337,78,3,116,1
200,1,454539,484,4,4,1837596,25,4,72,1
76,1,420937,457,3,3,1213907,64,5,109,1
19,9,475947,57,5,5,2352805,73,4,86,1
94,9,368058,139,2,7,2598914,2,3,55,1
56,1,493697,81,6,6,3000266,65,4,110,1
109,7,53215,378,8,8,410933,11,3,114,1
21,9,492829,155,2,2,974887,82,1,114,1
80,7,392708,484,3,3,1129374,56,1,53,1
117,10,329203,79,4,4,1252639,18,1,68,1
42,8,191773,318,8,8,1514526,96,3,79,1
188,2,414451,66,5,5,2077198,34,5,100,1
161,2,270124,284,7,8,2160907,73,2,92,1
95,3,143754,446,1,1,146956,30,5,119,1
1,1,460200,492,0,0,0,50,2,77,1
46,1,299860,462,6,6,1753868,93,3,74,1
70,2,309649,241,1,1,322095,23,2,110,1
133,1,220200,86,7,7,1594554,42,1,82,1
142,8,14178,239,3,3,43744,95,5,83,1
63,8,203081,353,7,7,1478492,98,2,71,1
39,1,498844,260,0,0,0,89,1,75,1
86,1,407897,387,6,6,2375231,31,4,85,1
126,1,84644,415,4,4,352839,67,4,57,1
180,6,250364,433,1,1,250499,82,4,120,1
20,10,307701,82,6,6,1807745,41,4,62,1
180,6,176753,282,4,4,738371,18,5,75,1
28,3,65395,135,7,7,453485,69,3,105,1
198,4,246934,208,7,7,1657740,88,3,79,1
181,10,31144,161,5,5,159008,46,4,64,1
132,1,365039,204,3,4,1526169,58,5,68,1
192,9,140994,99,7,7,949597,8,2,59,1
34,4,441842,256,5,5,2228235,10,1,56,1
17,4,483167,381,7,7,3519173,43,1,62,1
11,8,36548,137,9,9,325478,4,4,101,1
175,7,100600,232,3,3,295156,20,1,69,1
158,10,333473,176,4,4,1384950,62,1,109,1
23,5,210810,121,6,6,1313513,68,2,71,1
162,9,426728,60,6,6,2571766,63,3,91,1
145,9,178613,249,3,4,701511,29,1,69,1
200,5,40718,465,7,7,292631,30,2,113,1
26,4,354386,174,4,4,1354592,29,5,114,1
100,6,449994,483,2,2,908314,95,3,68,1
152,1,378811,409,5,5,1826267,25,4,118,1
139,5,102042,302,0,0,0,29,1,57,1
135,8,10358,220,9,9,91737,23,3,71,1
16,1,87443,300,18,360,32343171,68,3,117,0
19,6,379380,482,75,339,123478701,39,3,50,0
35,3,393963,485,81,223,91900838,84,3,101,0
45,9,373625,455,100,475,174930931,86,5,78,0
45,7,170863,375,16,352,58205391,1,5,37,0
101,10,26977,93,78,308,8077010,73,1,40,0
128,3,183627,381,39,39,7506906,22,1,30,0
182,6,244162,5,31,135,33598614,45,3,26,0
28,1,35243,197,53,224,8264761,53,4,93,0
97,6,296273,192,51,51,15546191,74,2,106,0
42,8,48644,409,37,433,20051999,34,1,4,0
19,6,99184,454,93,192,18233991,12,3,20,0
153,10,478307,247,55,360,179808956,22,5,3,0
112,3,38078,51,24,169,6376801,71,5,26,0
68,5,165923,121,49,49,8188577,63,2,6,0
14,6,12000,218,44,44,534604,62,2,37,0
25,1,118502,87,10,326,38529551,15,3,37,0
102,8,266427,458,11,338,91329865,50,2,33,0
95,7,203672,95,33,228,46157387,34,2,5,0
69,10,42316,77,85,385,15634621,86,3,89,0
139,7,406601,301,7,116,48773110,67,4,70,0
138,8,310267,451,38,120,35664403,92,1,60,0
129,10,482097,264,86,409,206696519,19,1,73,0
194,8,100638,485,24,85,8234460,55,1,27,0
175,7,115863,421,76,321,36291553,94,1,18,0
23,7,301695,203,35,282,85245493,2,5,41,0
151,9,419828,214,19,57,23088331,76,5,53,0
195,2,494928,54,12,288,146612261,69,3,99,0
106,5,210825,335,77,248,52143675,23,3,73,0
104,3,334138,311,51,348,110916986,43,2,88,0
13,8,492782,137,2,459,222519680,39,3,47,0
72,8,459962,356,29,350,155100793,96,4,12,0
199,6,151253,373,82,213,30893699,57,2,77,0
105,8,408193,264,7,444,181514436,21,1,47,0
80,9,221489,69,67,399,91726429,4,2,108,0
50,4,448816,29,58,127,54437836,47,2,4,0
71,6,441754,237,81,258,118794408,88,1,50,0
62,6,266265,304,60,228,61235856,45,3,22,0
42,5,402671,425,36,352,135042266,7,2,11,0
147,4,459373,113,86,331,147593235,84,4,28,0
132,1,463315,399,87,495,218077945,17,2,98,0
154,1,127319,129,39,311,40438580,91,3,103,0
109,7,456476,178,27,235,106914623,87,5,32,0
160,7,316439,339,47,494,157281568,77,5,107,0
73,5,368829,55,43,246,95162927,82,3,8,0
71,5,353995,364,83,487,168926813,20,5,114,0
196,4,481695,29,76,412,196555093,41,2,109,0
185,1,353618,254,53,151,52886911,95,1,33,0
150,10,437826,97,91,175,74492309,69,4,92,0
172,6,275979,153,84,432,123711609,24,3,21,0
25,8,77079,379,71,132,10441932,24,3,92,0
168,2,126524,181,39,114,14309027,43,3,95,0
67,10,164167,237,60,435,68225334,82,5,15,0
149,10,47337,241,64,455,20719481,88,4,24,0
136,5,226587,27,19,445,97174724,26,3,109,0
105,10,478107,464,40,234,115931394,24,1,18,0
125,6,340842,90,7,160,51833688,36,2,81,0
195,3,312136,391,81,81,25949398,12,2,62,0
158,7,342129,219,61,206,69656204,5,5,54,0
52,6,17380,456,67,164,2762124,87,1,96,0
161,4,128628,355,39,449,55610899,50,5,44,0
151,5,97566,33,38,421,42917362,59,5,5,0
153,9,187122,222,17,454,83617350,63,3,87,0
193,4,96446,485,51,464,42598981,29,2,117,0
55,1,319168,258,46,86,28027912,5,4,15,0
164,5,414356,273,76,319,138718225,85,1,6,0
168,1,35289,353,56,59,2057119,71,3,53,0
122,3,117738,355,1,351,40504131,85,1,80,0
170,9,151545,318,17,310,46597601,14,5,89,0
185,10,71726,144,13,58,4159167,78,2,100,0
200,5,445944,267,45,498,226598037,38,2,25,0
11,9,270232,466,61,106,28159362,1,1,88,0
172,2,485466,56,85,427,207171762,12,5,73,0
20,2,484364,131,58,329,167142928,38,3,29,0
119,1,62328,416,5,89,5742591,47,3,111,0
110,2,59806,435,5,388,22066935,18,2,113,0
85,6,478990,224,34,489,243090995,12,3,79,0
88,3,69680,205,34,204,14691920,89,4,58,0
108,3,69274,67,7,356,25849167,21,1,92,0
107,10,263060,410,56,291,74110494,49,3,86,0
157,1,462238,350,93,450,217855083,17,4,107,0
125,2,475354,210,8,225,104404988,41,1,5,0
181,9,412406,380,72,295,118301776,86,3,92,0
133,9,370836,358,55,316,119079199,32,4,12,0
89,7,87937,429,78,423,35540454,83,2,71,0
130,8,456625,253,9,445,208307135,42,2,21,0
85,5,36398,259,82,114,4099014,31,1,70,0
118,8,430091,293,63,229,97969508,16,4,11,0
191,1,63814,206,71,211,13530864,12,5,4,0
159,5,476674,260,83,287,139151300,44,3,26,0
14,4,452665,232,98,169,77416538,61,3,71,0
184,8,69781,49,28,388,25727224,46,3,84,0
141,9,206026,359,21,54,11116973,92,4,5,0
28,5,330262,100,50,96,30803424,25,3,15,0
28,7,34379,474,86,324,11237720,99,4,107,0
118,10,274344,68,0,493,135662274,7,5,63,0
111,10,263195,473,22,260,69743322,23,2,99,0
27,7,354730,307,41,310,110011497,50,4,112,0
156,4,153443,203,37,493,75290689,18,2,43,0
106,10,377009,453,38,383,149348251,71,3,65,0
183,9,341655,111,79,102,35595914,88,3,26,0
173,3,382452,332,64,499,191654470,82,3,22,0
182,2,408865,180,74,287,118173153,86,4,61,0
173,9,159908,449,1,433,69397546,4,4,54,0
38,1,361406,28,96,102,37915981,37,3,34,0
38,1,372070,401,96,151,56413885,46,4,26,0
27,10,465100,345,28,378,180069604,72,4,71,0
61,9,421202,407,36,408,175166030,7,4,89,0
100,7,423197,499,70,350,141509914,96,3,40,0
52,10,465527,399,56,440,211590993,82,3,111,0
194,10,296583,378,99,308,93402103,25,3,25,0
115,3,367909,38,94,95,34999751,49,1,22,0
110,5,301817,135,66,66,20609179,1,3,20,0
120,3,30940,78,76,475,14036414,81,5,41,0
170,5,267189,404,45,293,74942615,91,3,70,0
135,4,106400,266,34,34,3494373,70,5,100,0
104,2,193187,113,84,452,85852522,47,3,27,0
56,10,288134,243,96,287,86673162,2,1,105,0
172,6,243657,123,78,463,117535633,32,1,82,0
175,6,209949,468,14,407,84474061,70,3,120,0
7,9,441021,394,65,191,83776409,6,3,65,0
167,4,177936,263,21,42,7825774,99,5,12,0
137,1,338693,33,80,107,37231617,88,4,85,0
27,4,291938,424,94,359,107690066,83,1,112,0
192,3,22453,235,4,367,7900357,7,2,42,0
65,9,46931,294,33,420,19528954,58,4,29,0
111,6,18855,199,68,344,6165640,93,5,15,0
17,10,33863,358,45,434,15325624,14,3,9,0
176,5,328015,44,56,144,46674026,85,1,97,0
122,3,289690,112,50,69,20581812,70,3,95,0
163,3,166267,346,93,454,76601950,2,5,117,0
143,3,74610,21,2,2,147639,71,1,73,0
79,4,402322,379,44,462,180514738,83,5,92,0
37,3,106465,113,32,315,32511352,24,5,106,0
14,9,251835,330,37,281,71980576,33,1,9,0
51,10,265428,487,16,169,45625718,31,1,45,0
73,10,46599,460,62,99,4590532,79,3,40,0
178,10,89898,289,40,290,27266163,22,1,46,0
81,4,421912,113,82,364,152594987,47,2,94,0
174,6,470265,245,45,236,114031973,63,5,57,0
28,3,348454,310,35,41,14799094,18,5,107,0
51,5,394588,453,93,320,120906813,3,5,9,0
162,1,436058,297,98,296,130235295,5,5,51,0
67,9,478706,276,99,241,111314489,51,2,83,0
198,10,394422,438,59,148,58381012,12,4,17,0
94,9,15553,339,78,122,1932410,97,5,108,0
36,8,93478,91,84,289,28020632,19,4,72,0
92,1,124724,389,8,249,30324456,30,1,29,0
172,4,281521,464,49,405,113670242,59,1,46,0
11,6,64119,360,81,495,32785168,95,3,66,0
149,9,308928,89,48,192,58515194,84,1,83,0
133,5,207304,498,66,464,95283361,45,4,28,0
124,10,13459,256,56,451,5867031,10,5,17,0
165,5,120895,76,46,95,11602195,16,2,20,0
107,6,387621,58,61,246,95154722,76,2,86,0
166,7,21768,124,22,22,483318,18,5,16,0
11,10,86999,28,23,85,7407220,52,5,33,0
145,1,470591,368,36,372,182889471,28,4,84,0
156,8,464716,246,52,87,40837985,75,2,28,0
160,9,148685,85,43,370,57336953,77,5,87,0
18,4,208291,197,2,67,13540109,65,4,13,0
39,10,60488,90,78,243,14845296,69,5,115,0
193,2,58858,246,77,337,19913070,1,4,16,0
134,7,204184,447,22,22,4460134,62,4,89,0
90,10,431853,379,89,464,201905099,55,2,97,0
